Number,Name,Region,Area,Island,County,Classification,Metres,Feet,Feature,Observations,Survey,Climbed,Country,Latitude,Longitude
3023,Meall Odhar Mor,05B: Loch Ericht to Glen Tromie & Glen Garry,,,Perth and Kinross,Sim,891.5,2925,no feature,,Leica RX1250,,S,56.895245,-4.166458
2517,Nethermost Pike,34C: Lake District E,Lake District - Eastern Fells,,Cumbria,"N,sSim,W,B,Sy,Fel",891.3,2924,cairn,cairn 20m NW is probably lower,,,E,54.518993,-3.015446
3181,Sgurr Coire nan Eiricheallach,10A: Glen Shiel to Loch Hourn and Loch Quoich,,,Highland,Sim,891,2923,cairn,,,,S,57.102439,-5.304501
988,An Ruadh-Stac,13B: Applecross to Achnasheen,,,Highland,"Ma,C,Sim",890.4,2921,rock by cairn,,Abney level/Leica RX1250,,S,57.474982,-5.46827
746,Sgurr Beag,10B: Knoydart to Glen Kingie,,,Highland,"Hu,Sim,sMa",890,2920,rock,,Abney level,,S,57.019721,-5.363423
1073,Beinn Enaiglair,15A: Loch Broom to Strath Oykel,,,Highland,"Ma,C,Sim",890,2920,rock 4m NE of cairn,,,,S,57.779101,-4.986727
2990,Aonach Dubh,03B: Loch Linnhe to Loch Etive,,,Highland,Sim,889.9,2920,cairn,rocky knolls 40m NW at NN 14969 55862 and 40m N at NN 15013 55877 and all other points are lower,Leica Disto D510/Leica RX1250,,S,56.65773,-5.019895
3001,Meall Odhar,03C: Glen Etive to Glen Lochy,,,Argyll and Bute/Highland,Sim,890,2920,cairn,,,,S,56.574339,-4.939715
3116,Carn Crom,08A: Cairngorms,,,Aberdeenshire,Sim,890,2920,cairn,,,,S,57.039191,-3.610757
3126,Geal Charn,09B: Glen Albyn and the Monadh Liath,,,Highland,Sim,889.9,2920,cairn,,Leica RX1250,,S,57.099788,-4.198755
3220,Sgurr na Muice,12A: Kyle of Lochalsh to Garve,,,Highland,"Hu,Sim",890,2920,small cairn,this cairn is 50m W of larger cairn,,,S,57.432132,-4.956535
2518,Catstye Cam,34C: Lake District E,Lake District - Eastern Fells,,Cumbria,"Sim,Hew,N,W,B,Sy,Fel",889.6,2919,cairn,,,,E,54.533472,-3.008944
3244,Stuc Loch na Cabhaig,13A: Loch Torridon to Loch Maree,,,Highland,Sim,888.1,2914,cairn,,obvious summit/Leica RX1250,,S,57.595073,-5.530269
2,Creagan na Beinne,01A: Loch Tay to Perth,,,Perth and Kinross,"Ma,C,Sim",888,2913,cairn,,obvious summit,,S,56.506927,-4.041692
875,Aonach Shasuinn,11B: Glen Affric to Glen Moriston,,,Highland,"Ma,C,Sim",888,2913,cairn,windshelter 50m E at NH 17376 18021 may be as high,,,S,57.216381,-5.026852
1349,Sgurr Dhomhnuill,18B: Sunart and Ardgour,,,Highland,"Ma,C,Sim",888,2913,round shelter,trig point just in front of shelter is destroyed,obvious summit,,S,56.754656,-5.453786
2962,Creag an Fheadain,02A: Loch Rannoch to Glen Lyon,,,Perth and Kinross,Sim,888,2913,small pile of stones,NN 49766 45242 is of equal height,Abney level,,S,56.574765,-4.447294
3176,Carn Dearg,09C: Loch Lochy to Loch Laggan,,,Highland,sSim,888,2913,small cairn,,Leica RX1250,,S,56.967922,-4.616751
3196,Sean Mheall,10C: Loch Arkaig to Glen Moriston,,,Highland,"Sim,sHu",888,2913,,,,,S,57.008947,-4.896659
78,Beinn Chorranach,01D: Inveraray to Crianlarich,,,Argyll and Bute,"Hu,Sim",887.6,2912,rock by cairn,,Leica RX1250,,S,56.246684,-4.818222
442,Sgor Mor,06B: Pitlochry to Braemar & Blairgowrie,,,Aberdeenshire,"Hu,Sim,xC",887,2910,cairn,,,,S,56.925513,-3.45474
747,Ben Aden [Beinn an Aodainn],10B: Knoydart to Glen Kingie,,,Highland,"Ma,C,Sim",887,2910,rock 15m SE of cairn,rock 2m from cairn at NM 89932 98623 is lower,Abney level,,S,57.030736,-5.463143
972,Meall a' Ghiubhais [Meall a' Ghiuthais],13A: Loch Torridon to Loch Maree,,,Highland,"Ma,C,Sim",887,2910,cairn/windshelter,top 400m NNE at NG 97843 63736 is lower,Abney level,,S,57.615182,-5.390202
3041,Elrig 'ic an Toisich,06A: Glen Tromie to Glen Tilt,,,Perth and Kinross,Sim,887,2910,embedded rock,,Leica Disto D510/Leica RX1250,,S,56.886951,-3.86342
3087,Braid Cairn,07B: Braemar to Montrose,,,Aberdeenshire/Angus,"Hu,Sim",887,2910,embedded boulder,boulder is as high as top of cairn 50m ENE,Abney level,,S,56.973029,-2.945742
3127,Beinn Sgiath,09B: Glen Albyn and the Monadh Liath,,,Highland,Sim,887,2910,a few stones,,,,S,57.05177,-4.364802
3199,Stob Coire nan Cearc,10D: Mallaig to Fort William,,,Highland,"Sim,sHu",887,2910,rock,,obvious summit,,S,56.912194,-5.389384
3250,Beinn Liath Mhor East Top,13B: Applecross to Achnasheen,,,Highland,Sim,887,2910,outcrop 5m SE of cairn,outcrop is c.0.4m higher than base of cairn,Abney level,,S,57.51095,-5.38289
6230,Carn Odhar na Criche North Top,09B: Glen Albyn and the Monadh Liath,,,Highland,sSim,886.4,2908,rock,,Leica RX1250,,S,57.113899,-4.301237
170,Beinn a' Chaisteil,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Argyll and Bute/Perth and Kinross,"Ma,C,Sim",886,2907,cairn,,,,S,56.490614,-4.686104
2226,Pen y Fan,32A: Llandovery to Monmouth,Brecon Beacons,,Powys,"Ma,Sim,Hew,N,CoH,CoU,CoA",886,2907,large cairn,,,,W,51.884031,-3.436765
3268,Creag a' Choire Ghranda,15A: Loch Broom to Strath Oykel,,,Highland,Sim,885.9,2906,rock,,Leica RX1250,,S,57.775548,-4.915897
713,Buidhe Bheinn,10A: Glen Shiel to Loch Hourn and Loch Quoich,,,Highland,"Ma,C,Sim",885.5,2905,small cairn,West Top (hill 715) at NG 95680 08745 is lower,Leica NA730/Leica GS15,,S,57.127133,-5.366446
19495,Craig Backastain,10B: Knoydart to Glen Kingie,,,Highland,sSim,885.4,2905,rock,,Leica RX1250,,S,57.017026,-5.447858
716,Sgurr a' Bhac Chaolais,10A: Glen Shiel to Loch Hourn and Loch Quoich,,,Highland,"Hu,Sim,xC",885.2,2904,cairn on outcrop,,Abney level/Leica 530/Leica RX1250,,S,57.144675,-5.376325
1350,Garbh Bheinn,18B: Sunart and Ardgour,,,Highland,"Ma,C,Sim",885,2904,rock by cairn,,,,S,56.704449,-5.425008
2084,Aran Benllyn,30E: Bala to Welshpool,The Arans,,Gwynedd,"Sim,Hew,N",885,2904,rock 35m S of cairn,rock is 0.5m higher than ground by cairn (SH 86721 24313),Abney level,,W,52.804058,-3.681824
2369,Esk Pike,34B: Lake District C&W,Lake District - Southern Fells,,Cumbria,"Hu,Sim,Hew,N,W,B,Sy,Fel",885,2904,rib of rock with small cairn,rib of rock 4mNE is as high; large cairn 30m NE at NY 23671 07527 is lower,Abney level,,E,54.457172,-3.179219
3088,Meall an Tionail,07A: Braemar to Montrose,,,Aberdeenshire,Sim,885,2904,boulder,two boulders 4m apart are the same height,Abney level,,S,56.97387,-3.27865
6712,Meall Gorm,15A: Loch Broom to Strath Oykel,,,Highland,sSim,885,2904,tiny cairn,,,,S,57.763932,-4.844534
3040,Braigh nan Creagan Breac,06A: Glen Tromie to Glen Tilt,,,Perth and Kinross,Sim,884.9,2903,mound,,Leica RX1250,,S,56.860868,-3.809484
7888,Sgurr nan Gillean Third Pinnacle,17B: Minginish and the Cuillin Hills,Skye & surrounding islands,Skye,Highland,sSim,884.4,2902,overhanging boulder,,Leica RX1250,,S,57.249882,-6.192519
79,The Cobbler [Ben Arthur],01D: Inveraray to Crianlarich,,,Argyll and Bute,"Ma,C,Sim",884,2900,rock pinnacle,,,,S,56.213037,-4.808042
3267,Beinn Dearg North Top,15A: Loch Broom to Strath Oykel,,,Highland,sSim,883.8,2900,outcrop,,Abney level/Leica RX1250,,S,57.793512,-4.919081
171,Cam Chreag,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Argyll and Bute/Perth and Kinross/Stirling,"Ma,C,Sim",883.6,2899,vegetated rock by cairn,,,,S,56.476054,-4.639162
2519,High Crag (Grisedale),34C: Lake District E,Lake District - Eastern Fells,,Cumbria,"B,Sy,xN",883.5,2899,cairn,,,,E,54.514029,-3.015833
1333,Beinn Odhar Bheag,18A: Moidart and Ardnamurchan,,,Highland,"Ma,C,Sim",883.3,2898,small cairn,,obvious summit/Leica RX1250,,S,56.842204,-5.532392
2978,Sgiath Chuil East Top,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Stirling,"Hu,Sim",883.3,2898,rock,,obvious summit/Leica RX1250,,S,56.466433,-4.475792
263,Stob Dubh,03C: Glen Etive to Glen Lochy,,,Highland,"Ma,C,Sim",883,2897,cairn,rocky ground 10m NE of cairn is highest visible ground,Abney level,,S,56.595405,-4.988114
3269,Cnap Coire Loch Tuath,15A: Loch Broom to Strath Oykel,,,Highland,Sim,883,2897,rock,,,,S,57.801509,-4.892085
2520,Raise,34C: Lake District E,Lake District - Eastern Fells,,Cumbria,"Sim,Hew,N,sHu,W,B,Sy,Fel",882.7,2896,cairn on rock,,,,E,54.547718,-3.017473
3128,Carn Leac,09B: Glen Albyn and the Monadh Liath,,,Highland,"Hu,Sim",882.8,2896,cairn,,obvious summit/Leica RX1250,,S,57.0429,-4.628008
1334,Rois-Bheinn,18A: Moidart and Ardnamurchan,,,Highland,"Ma,C,Sim",882,2894,rock by cairn on site of destroyed trig point,,,,S,56.837626,-5.680425
3024,A' Mharconaich,05B: Loch Ericht to Glen Tromie & Glen Garry,,,Highland,"Sim,sHu",882,2894,,,,,S,56.937274,-4.125006
3221,Carn Eiteige,12A: Kyle of Lochalsh to Garve,,,Highland,Sim,882,2894,trig point,,,,S,57.443257,-4.984404
5887,Meall nan Each North Top,03C: Glen Etive to Glen Lochy,,,Argyll and Bute,sSim,882,2894,outcrop,rock 10m S is 10cm lower; boulder 60m W is 50cm lower,Abney level,,S,56.436289,-5.156238
5977,Carn Greannach,06A: Glen Tromie to Glen Tilt,,,Aberdeenshire/Perth and Kinross,sSim,882,2894,cairn,cairn at NN 95080 82118 may be as high,,,S,56.919302,-3.725484
3025,Glas Mheall Beag,05B: Loch Ericht to Glen Tromie & Glen Garry,,,Perth and Kinross,"Sim,sHu",881.5,2892,stones 20m N of cairn,,Leica Disto D510/Leica RX1250,,S,56.853878,-4.177024
3209,Faradh Nighean Fhearchair,11A: Loch Duich to Cannich,,,Highland,Sim,881.2,2891,rock,,Abney level/Leica RX1250,,S,57.234175,-5.323315
5810,Meall a' Phuill,02A: Loch Rannoch to Glen Lyon,,,Perth and Kinross,sSim,881.2,2891,rock 15m N of cairn,cairn 15m S at NN 50750 48854 is 10cm lower,Abney level/Leica RX1250,,S,56.60787,-4.433319
5966,A' Bhuidheanach,05B: Loch Ericht to Glen Tromie & Glen Garry,,,Highland,sSim,881.1,2891,no feature,,Leica Disto D510/Leica RX1250,,S,56.888865,-4.208019
3294,Sgurr Thuilm,17B: Minginish and the Cuillin Hills,Skye & surrounding islands,Skye,Highland,"Hu,Sim",881,2890,tiny cairn,,,,S,57.236717,-6.245953
6349,Sgurr Coire nan Eiricheallach North Top,10A: Glen Shiel to Loch Hourn and Loch Quoich,,,Highland,sSim,881,2890,outcrop,,Abney level,,S,57.104132,-5.308798
6374,Sgurr Sgiath Airigh,10B: Knoydart to Glen Kingie,,,Highland,Un,881,2890,cairn,,,,S,57.090294,-5.424608
6447,An Cnapach,11A: Loch Duich to Cannich,,,Highland,sSim,880.7,2889,ground by cliff edge,,obvious summit/Leica RX1250,,S,57.19261,-5.207944
80,Beinn Chuirn,01D: Inveraray to Crianlarich,,,Argyll and Bute/Stirling,"Ma,C,Sim",880,2887,cairn,,,,S,56.423887,-4.789867
763,Sgurr Mhurlagain,10B: Knoydart to Glen Kingie,,,Highland,"Ma,C,Sim",880,2887,cairn,knoll 90m ENE at NN 01345 94495 is 5m lower,Abney level,,S,56.998469,-5.273676
3002,Beinn Eunaich East Top,03C: Glen Etive to Glen Lochy,,,Argyll and Bute,Sim,880,2887,,,,,S,56.45613,-5.011868
6350,Faochag West Top,10A: Glen Shiel to Loch Hourn and Loch Quoich,,,Highland,sSim,880,2887,rock,cairn 8m W is lower,Abney level,,S,57.154582,-5.396791
3,Creag Uchdag,01A: Loch Tay to Perth,,,Perth and Kinross/Stirling,"Ma,C,Sim",879,2884,trig point,knoll 90m E is 1.5m lower; ground 30m W is 30cm lower,Abney level,,S,56.465278,-4.098107
42,Ben Ledi,01C: Loch Lomond to Strathyre,,,Stirling,"Ma,C,Sim",879,2884,trig point,base of cairn 5m S is higher but is probably 'man made',Abney level,,S,56.258659,-4.322375
212,Fraochaidh,03B: Loch Linnhe to Loch Etive,,,Argyll and Bute/Highland,"Ma,C,Sim",879,2884,cairn,,obvious summit,,S,56.615678,-5.213625
715,Buidhe Bheinn West Top,10A: Glen Shiel to Loch Hourn and Loch Quoich,,,Highland,"Sim,xC",879,2884,cairn,,,,S,57.124138,-5.377042
941,Sguman Coinntich,12B: Killilan to Inverness,,,Highland,"Ma,C,Sim",879,2884,cairn on rock,trig point 6m SE is lower,Abney level,,S,57.318788,-5.361295
3026,Meallan Buidhe,05A: Loch Ericht to Glen Tromie & Glen Garry,,,Perth and Kinross,Sim,879,2884,cairn,,,,S,56.813896,-4.276813
3042,Braigh Sron Ghorm,06A: Glen Tromie to Glen Tilt,,,Perth and Kinross,Sim,879.1,2884,cairn,,Leica RX1250,,S,56.883436,-3.801662
5844,Beinn a' Bhuic,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross/Stirling,sSim,878.9,2884,no feature: grass,,Leica RX1250,,S,56.528727,-4.33127
6231,Meall na Ceardaich,09B: Glen Albyn and the Monadh Liath,,,Highland,sSim,879,2884,,,,,S,57.099958,-4.232348
903,Sgurr a' Mhuilinn,12A: Kyle of Lochalsh to Garve,,,Highland,"Ma,C,Sim",878.8,2883,cairn,trig point remnants incorporated in cairn,Abney level/Leica RX1250,,S,57.558383,-4.902287
633,Carn an Fhreiceadain,09B: Glen Albyn and the Monadh Liath,,,Highland,"Ma,C,Sim",878,2881,trig point in shelter,trig point is positioned in middle of very flat area; rock forming part of shelter to NE appears to be of similar height,,,S,57.137355,-4.107357
3068,Geal Charn,06B: Pitlochry to Braemar & Blairgowrie,,,Aberdeenshire/Perth and Kinross,Sim,878,2881,cairn,,,,S,56.930945,-3.592235
3302,Rois-Bheinn West Top,18A: Moidart and Ardnamurchan,,,Highland,Sim,878,2881,cairn,,,,S,56.837029,-5.691192
19756,Cam Chreag South Top,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Stirling,Un,878.1,2881,vegetated rock,,Leica RX1250,,S,56.468047,-4.625535
3003,Meall Tarsuinn,03C: Glen Etive to Glen Lochy,,,Argyll and Bute/Highland,"Sim,sHu",877,2877,outcrop 8m S of cairn,outcrop is higher than base of cairn,Abney level,,S,56.560847,-4.964339
3295,Sgurr a' Choire Bhig,17B: Minginish and the Cuillin Hills,Skye & surrounding islands,Skye,Highland,Sim,877,2877,small cairn,,Leica RX1250,,S,57.192631,-6.196588
6375,Sgurr a' Choire-bheithe East Top,10B: Knoydart to Glen Kingie,,,Highland,Sim,876.4,2875,outcrop,,obvious summit,,S,57.054344,-5.464122
3089,Boustie Ley,07B: Braemar to Montrose,,,Angus,"Sim,sHu",876,2874,embedded rock 20m N of cairn,cairn is at NO 32233 75974,,,S,56.870443,-3.113324
3251,Beinn Liath Mhor Far East Top,13B: Applecross to Achnasheen,,,Highland,Sim,876,2874,large cairn,,,,S,57.508791,-5.368544
6233,Carn na Criche,09B: Glen Albyn and the Monadh Liath,,,Highland,Sim,876.1,2874,mossy rock,,Leica RX1250,,S,57.077008,-4.349758
19476,Creag a' Choire Dhirich,06B: Pitlochry to Braemar & Blairgowrie,,,,sSim,876.1,2874,not recorded,,Leica RX1250,,S,56.882597,-3.441256
3129,Geal Charn,09B: Glen Albyn and the Monadh Liath,,,Highland,"Sim,sHu",875.6,2873,cairn,,obvious summit/Leica RX1250,,S,57.054299,-4.566341
3210,Sgurr na Moraich,11A: Loch Duich to Cannich,,,Highland,"Hu,Sim",875.6,2873,cairn,,Leica RX1250,,S,57.219285,-5.370974
6232,Cairn Ewen,09B: Glen Albyn and the Monadh Liath,,,Highland,sSim,875.8,2873,cairn,,Leica RX1250,,S,57.093702,-4.330196
416,A' Chaoirnich [Maol Creag an Loch],06A: Glen Tromie to Glen Tilt,,,Highland,"Ma,C,Sim",875,2871,cairn and ground to 5m W,cairn 580m S at NN 73481 80114 is at least 5m lower and should not be mistaken for the summit,Abney level,,S,56.90042,-4.078194
973,Baosbheinn,13A: Loch Torridon to Loch Maree,,,Highland,"Ma,C,Sim",875,2871,large rock slab 15m W of cairn,cairn is at NG 87051 65408,Abney level,,S,57.628255,-5.568617
1472,Goatfell [Goat Fell],20C: Arran and Holy Island,Firth of Clyde to Mull of Kintyre,Arran,North Ayrshire,"Ma,C,Sim,CoH,CoU,SIB",875,2871,very large boulder c.3m NE of trig point,,,,S,55.625849,-5.191883
2988,Sron Gharbh [Sron Garbh],03A: Loch Leven to Rannoch Station,,,Highland,Sim,875,2871,rock,rock is mid-way between two cairns 50m apart & a few tens of cm higher than either cairn,Abney level/Leica RX1250,,S,56.682234,-4.97662
3222,Carn Gorm,12A: Kyle of Lochalsh to Garve,,,Highland,Sim,875,2871,large cairn,,obvious summit,,S,57.501707,-5.113666
5967,Bogha-cloiche West Top,05B: Loch Ericht to Glen Tromie & Glen Garry,,,Highland,sSim,875,2871,,,,,S,56.952247,-4.089681
2964,Meall Daill,02A: Loch Rannoch to Glen Lyon,,,Perth and Kinross,"Hu,Sim",874.7,2870,cairn,,obvious summit/Leica RX1250,,S,56.556081,-4.585737
3009,Beinn a' Bhric,04A: Fort William to Loch Treig & Loch Leven,,,Highland,Sim,874.2,2868,rock by cairn,top of rock 2m SW is higher than base of cairn,Abney level/Leica RX1250,,S,56.739271,-4.751633
3069,Carn Mor,06B: Pitlochry to Braemar & Blairgowrie,,,Perth and Kinross,Sim,874.1,2868,no feature,cairns not at highest point,Leica RX1250,,S,56.85828,-3.460986
4382,Carn Leac East Top,09B: Glen Albyn and the Monadh Liath,,,Highland,sSim,874.1,2868,rock,,Abney level/Leica RX1250,,S,57.044803,-4.618662
1335,Sgurr na Ba Glaise,18A: Moidart and Ardnamurchan,,,Highland,"Ma,C,Sim",874,2867,small low outcrop 26m SE of cairn,higher than top of outcrop under cairn and nearby outcrops,Abney level,,S,56.837438,-5.656867
2963,Meall nan Eun,02A: Loch Rannoch to Glen Lyon,,,Perth and Kinross,"Sim,sHu",874,2867,outcrop,small rock 10m WSW is as high; rock 30m WSW is probably just lower,Abney level,,S,56.632118,-4.108322
3270,Iorguill,15A: Loch Broom to Strath Oykel,,,Highland,Sim,874,2867,,,,,S,57.789258,-4.965683
2521,Fairfield,34C: Lake District E,Lake District - Eastern Fells,,Cumbria,"Ma,Sim,Hew,N,W,B,Sy,Fel",873.3,2865,embedded outcrop within cairn/shelter,rock 20m SW at NY 35861 11736 is 0.3m lower,Leica RX1250,,E,54.497054,-2.991648
1126,Ben Hee,16B: Durness to Loch Shin,,,Highland,"Ma,C,Sim",873,2864,trig point in shelter,cairn 35m NW of trig point at NC 42632 33955 is just lower,Abney level,,S,58.265889,-4.68391
3271,Creag an Lochain Sgeirich [A'Chaoirnichain Sgeirich],15A: Loch Broom to Strath Oykel,,,Highland,Sim,873,2864,"low, flat outcrop",ground 75m to NW is of similar height,Abney level,,S,57.821799,-4.936814
1980,Moel Siabod,30B: Snowdonia,The Moelwyns,,Conwy,"Ma,Sim,Hew,N",872.2,2862,rock 4m WSW of trig point,,obvious summit/Trimble GeoXH 6000,,W,53.073185,-3.934069
5978,Braigh Clais Daimh,06A: Glen Tromie to Glen Tilt,,,Perth and Kinross,sSim,872.4,2862,small pile of stones,base of cairn 10m E at NN 89805 74716 may be as high,Leica RX1250,,S,56.850808,-3.808605
1488,Morven,21A: Tomintoul to Banff,,,Aberdeenshire,"Ma,C,Sim",872,2861,large cairn,15m S of trig point (NJ 37672 04003),obvious summit,,S,57.122639,-3.03088
2085,Erw y Ddafad-ddu,30E: Bala to Welshpool,The Arans,,Gwynedd,"Sim,Hew,N",872,2861,cairn,,,,W,52.796054,-3.68515
3215,Carn nan Coireachan Cruaidh,11B: Glen Affric to Glen Moriston,,,Highland,Sim,872,2861,knoll on outcrop,,Abney level,,S,57.2158,-5.005764
3223,Moruisg East Top,12A: Kyle of Lochalsh to Garve,,,Highland,Sim,872,2861,cairn,,obvious summit,,S,57.497129,-5.15286
3090,Crow Craigies South Top,07A: Braemar to Montrose,,,Angus,sSim,871.8,2860,no feature: heather,,Leica RX1250,,S,56.896148,-3.266094
3130,Carn Donnachaidh Beag,09B: Glen Albyn and the Monadh Liath,,,Highland,Sim,871.6,2860,rock,,Leica RX1250,,S,57.103939,-4.334455
2227,Corn Du,32A: Llandovery to Monmouth,Brecon Beacons,,Powys,"N,sSim",871.5,2859,large cairn,,,,W,51.88167,-3.443809
3185,An Eag,10B: Knoydart to Glen Kingie,,,Highland,Sim,871.5,2859,rock c 4m NW of cairn,,Abney level/Leica RX1250,,S,57.007998,-5.388397
989,Sgorr nan Lochan Uaine,13B: Applecross to Achnasheen,,,Highland,"Ma,C,Sim",871,2858,windshelter,,Abney level,,S,57.522771,-5.393259
3043,Carn a' Chiaraidh,06A: Glen Tromie to Glen Tilt,,,Perth and Kinross,Sim,871,2858,cairn,,Leica RX1250,,S,56.874158,-3.841435
3070,Carn a' Chlarsaich,06B: Pitlochry to Braemar & Blairgowrie,,,Aberdeenshire/Perth and Kinross,Sim,871.1,2858,vegetated outcrop,,Leica RX1250,,S,56.882995,-3.529437
7895,The Cairnwell North Top,06B: Pitlochry to Braemar & Blairgowrie,,,Aberdeenshire/Perth and Kinross,sSim,871.2,2858,large wide cairn,,Leica RX1250,,S,56.884619,-3.429451
6234,Beinn Odhar,09B: Glen Albyn and the Monadh Liath,,,Highland,sSim,870.7,2857,small mossy mound,,Leica RX1250,,S,57.095583,-4.291534
19766,Clach Bhan,08B: Cairngorms,,,Moray,Un,870.9,2857,tor,,Leica RX1250,,S,57.130218,-3.383227
3303,Beinn Odhar Mhor,18A: Moidart and Ardnamurchan,,,Highland,"Hu,Sim",870.2,2855,rock between ruined trig point and cairn,cairn is 3m E of destroyed trig point,obvious summit,,S,56.853486,-5.525432
717,Druim Fiaclach,18A: Moidart and Ardnamurchan,,,Highland,"Hu,Sim,xC",869.8,2854,vegetated rock by cairn,,obvious summit/Leica RX1250,,S,56.851343,-5.623733
2932,Sron a' Chaoineidh,01A: Loch Tay to Perth,,,Perth and Kinross,Sim,870,2854,tiny cairn,remains of cairn 18m ESE at NN 77080 36839 and boulder 6m N of trig point at NN 77341 36754 are lower,Abney level,,S,56.50761,-3.99915
2951,The Cobbler North Peak,01D: Inveraray to Crianlarich,,,Argyll and Bute,Sim,870,2854,cairn,,obvious summit,,S,56.214934,-4.804841
3091,Green Hill,07B: Braemar to Montrose,,,Angus,Sim,870,2854,large rock near cairn,,,,S,56.867597,-3.069916
3238,An Creachal Beag,12B: Killilan to Inverness,,,Highland,Sim,870,2854,cairn,,obvious summit,,S,57.348049,-5.215182
3211,Beinn Bhuidhe,11A: Loch Duich to Cannich,,,Highland,Sim,869.5,2853,cairn,,obvious summit/Leica RX1250,,S,57.209061,-5.363365
43,Stob a' Choin,01C: Loch Lomond to Strathyre,,,Stirling,"Ma,C,Sim",869,2851,cairn,this is the S top which is 1m higher than N top 120m away at NN 41678 16074; outcrop 50m W is 0.5m lower,Abney level,,S,56.309674,-4.560146
3296,Bidein Druim nan Ramh,17B: Minginish and the Cuillin Hills,Skye & surrounding islands,Skye,Highland,"Hu,Sim",869,2851,small cairn,,,,S,57.23543,-6.216665
3131,Gairbeinn North Top,09B: Glen Albyn and the Monadh Liath,,,Highland,Sim,868.4,2849,outcrop,0.75m higher than rib of rock at NN47080 00301,Abney level/Leica RX1250,,S,57.067951,-4.524736
443,Meall a' Choire Bhuidhe,06B: Pitlochry to Braemar & Blairgowrie,,,Perth and Kinross,"Hu,Sim,sMa",868,2848,embedded rock in grass,,,,S,56.821043,-3.538332
942,Faochaig,12B: Killilan to Inverness,,,Highland,"Ma,C,Sim",868,2848,rock 2m from cairn,note that rock outcrop on NE top at NH 02615 31975 is not the summit,Abney level,,S,57.332915,-5.288039
3264,Sgurr a' Chadha Dheirg,14B: The Fannaichs,,,Highland,Sim,868,2848,boulder,boulder is 1m long and 2m S of tiny cairn,Abney level,,S,57.674122,-5.0475
3288,Carn nan Conbhairean,16E: Scourie to Lairg,,,Highland,Sim,868,2848,flat rock,,,,S,58.122226,-4.845161
6001,Carn Dubh,06B: Pitlochry to Braemar & Blairgowrie,,,Perth and Kinross,sSim,868,2848,embedded boulder,summit is 2m SW of end of wall,Abney level,,S,56.804901,-3.635465
19765,Mullach Coire nan Dearcag,06A: Glen Tromie to Glen Tilt,,,Highland,Un,868.1,2848,cairn,,Leica RX1250,,S,56.950712,-4.008491
2320,Blencathra - Hallsfell Top,34A: Lake District N,Lake District - Northern Fells,,Cumbria,"Ma,Sim,Hew,N,W,B,Sy,Fel",867.8,2847,rock 1m N of trig point,ground 2m N of trig point about as high,Abney level/Leica RX1250,,E,54.639949,-3.049789
3301,A' Chioch,17E: Mull and Nearby Islands,Mull & surrounding islands,Mull,Argyll and Bute,"Sim,sHu",867.8,2847,rock,8m E of cairn; ground beneath cairn is as high,obvious summit/Leica RX1250,,S,56.427742,-5.999295
779,Bidein a' Chabair,10D: Mallaig to Fort William,,,Highland,"Ma,C,Sim",867.5,2846,small cairn,,obvious summit/Leica RX1250,,S,56.980354,-5.475517
3252,Creagan Dubh Toll nam Biast,13B: Applecross to Achnasheen,,,Highland,Sim,867.6,2846,rock by shelter,,obvious summit/Leica RX1250,,S,57.500491,-5.529606
374,Beinn Pharlagain - Meall na Meoig [Meall na Meoig],04B: Loch Treig to Loch Ericht,,,Perth and Kinross,"Ma,C,Sim",867.3,2845,rock slab 40m NNW of cairn,cairn is at NN 44839 64165,Abney level/Leica RX1250,,S,56.743615,-4.538979
6662,Suidheachan Fhinn,14A: Loch Maree to Loch Broom,,,Highland,sSim,867.2,2845,boulder,higher than either of the other two pinnacles on the ridge,Abney level/Leica RX1250,,S,57.703177,-5.300854
185,Garbh Bheinn,03A: Loch Leven to Rannoch Station,,,Highland,"Ma,C,Sim",867,2844,cairn,,Abney level,,S,56.696593,-4.991428
3004,Aonach Mor,03C: Glen Etive to Glen Lochy,,,Highland,Sim,867,2844,vegetated outcrop,ground 280m SE at NN 22156 47716 is lower,Abney level,,S,56.589161,-4.901117
2989,Stob Dubh,03A: Loch Leven to Rannoch Station,,,Highland,sSim,866.4,2843,rock by small cairn,,Leica RX1250,,S,56.684918,-5.018937
3282,A' Cheir Ghorm [A' Che'ir Ghorm],16B: Durness to Loch Shin,,,Highland,Sim,866.6,2843,rock 18m from cairn,cairn is lower,Leica Disto D510 /Leica RX1250,,S,58.400884,-4.878399
3092,Craig Mellon,07A: Braemar to Montrose,,,Angus,"Hu,Sim",866.2,2842,no feature: heather,,Leica RX1250,,S,56.881944,-3.211687
2370,Bowfell North Top,34B: Lake District C&W,Lake District - Southern Fells,,Cumbria,"N,Sy",866,2841,cairn,rock 4m N is of similar height to rock in cairn,Abney level,,E,54.452773,-3.166676
2979,Meall na Samhna,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Stirling,Sim,866,2841,no feature: grass,outcrop 135m S at NN 48936 33214 and rock 10m SW at NN 48911 33345 are the same height,Abney level/Leica RX1250,,S,56.468043,-4.454011
